lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
alight,alit,alighted,alight,alight,alight,alights,alighting,alit,alit,alighted
arise,arose,arisen,arise,arise,arise,arises,arising,arose,arose,arose
awake,awaked,awoken,awake,awake,awake,awakes,awaking,awaked,awaked,awoke
be,were,been,am,are,are,is,being,was,were,was
bear,bore,borne,bear,bear,bear,bears,bearing,bore,bore,bore
beat,beat,beaten,beat,beat,beat,beats,beating,beat,beat,beat
become,became,become,become,become,become,becomes,becoming,became,became,became
beget,begot,begotten,beget,beget,beget,begets,begetting,begot,begot,begot
begin,began,begun,begin,begin,begin,begins,beginning,began,began,began
bend,bent,bent,bend,bend,bend,bends,bending,bent,bent,bent
bereave,bereft,bereaved,bereave,bereave,bereave,bereaves,bereaving,bereft,bereft,bereaved
beseech,beseeched,besought,beseech,beseech,beseech,beseeches,beseeching,beseeched,beseeched,besought
bet,betted,bet,bet,bet,bet,bets,betting,betted,betted,bet
bid,bid,bidden,bid,bid,bid,bids,bidding,bid,bid,bade
bide,bided,bided,bide,bide,bide,bides,biding,bided,bided,bade
bind,bound,bound,bind,bind,bind,binds,binding,bound,bound,bound
bite,bit,bitten,bite,bite,bite,bites,biting,bit,bit,bit
bleed,bled,bled,bleed,bleed,bleed,bleeds,bleeding,bled,bled,bled
bless,blest,blessed,bless,bless,bless,blesses,blessing,blest,blest,blessed
blow,blew,blown,blow,blow,blow,blows,blowing,blew,blew,blew
break,broke,broken,break,break,break,breaks,breaking,broke,broke,broke
breed,bred,bred,breed,breed,breed,breeds,breeding,bred,bred,bred
bring,brought,brought,bring,bring,bring,brings,bringing,brought,brought,brought
broadcast,broadcasted,broadcast,broadcast,broadcast,broadcast,broadcasts,broadcasting,broadcasted,broadcasted,broadcast
build,built,built,build,build,build,builds,building,built,built,built
burn,burned,burnt,burn,burn,burn,burns,burning,burned,burned,burnt
burst,burst,burst,burst,burst,burst,bursts,bursting,burst,burst,burst
bust,busted,bust,bust,bust,bust,busts,busting,busted,busted,bust
buy,bought,bought,buy,buy,buy,buys,buying,bought,bought,bought
can,could,[None],can,can,can,cans,canning,could,could,could
cast,cast,cast,cast,cast,cast,casts,casting,cast,cast,cast
catch,caught,caught,catch,catch,catch,catches,catching,caught,caught,caught
choose,chose,chosen,choose,choose,choose,chooses,choosing,chose,chose,chose
cleave,clove,cleft,cleave,cleave,cleave,cleaves,cleaving,clove,clove,cleft
clothe,clad,clothed,clothe,clothe,clothe,clothes,clothing,clad,clad,clothed
come,came,come,come,come,come,comes,coming,came,came,came
cost,cost,cost,cost,cost,cost,costs,costing,cost,cost,cost
creep,crept,crept,creep,creep,creep,creeps,creeping,crept,crept,crept
crow,crowed,crew,crow,crow,crow,crows,crowing,crowed,crowed,crowed
cut,cut,cut,cut,cut,cut,cuts,cutting,cut,cut,cut
deal,dealt,dealt,deal,deal,deal,deals,dealing,dealt,dealt,dealt
dig,dug,dug,dig,dig,dig,digs,digging,dug,dug,dug
do,did,done,do,do,do,does,doing,did,did,did
draw,drew,drawn,draw,draw,draw,draws,drawing,drew,drew,drew
dream,dreamed,dreamt,dream,dream,dream,dreams,dreaming,dreamed,dreamed,dreamt
drink,drank,drunk,drink,drink,drink,drinks,drinking,drank,drank,drank
drive,drove,driven,drive,drive,drive,drives,driving,drove,drove,drove
dwell,dwelled,dwelt,dwell,dwell,dwell,dwells,dwelling,dwelled,dwelled,dwelt
